gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
5003323861	CC BY 4.0									http://grbio.org/institution/illinois-natural-history-survey			INHS		INHS_data		PreservedSpecimen				b2c860f8-3077-4f51-a386-cc2bbe370a10	INHS Insect Collection 793891		D. Koym		1			Male	adult									present	Vial		https://sfg.taxonworks.org/api/v1/images/535ebcc2e875dde616c6bff5012176ab						Imaged by: Ed DeWalt, Felipe Soto-Adames; Date Imaged: 12/2/2015.									AR, Nevada Co., Terre Rouge Creek, 4 mi S Prescott at Hwy A, 4-VII-1982, Koym  Perlesta lagoi, M, 3 F, Det. R. E. DeWalt, 2015						1982-07-04							4-VII-1982	stream											Terre Rouge Creek			United States	US	Arkansas	Nevada			4 mi S Prescott at Hwy A [US-371]												33.72448	-93.36466	unknown	1000.0			N33.72448º W93.36466º	N33.72448º	W93.36466º		unknown	POINT Z (-93.36466 33.72448 0)			DeWalt, Ralph Edward		A geospatial point translated from verbatim values recorded on human-readable media (e.g. paper specimen label, field notebook).	Physical collection object.	Derived from a instance of TaxonWorks' Georeference::VerbatimData.																									2015												Perlesta lagoi Stark, 1989							Animalia | Arthropoda | Insecta | Plecoptera | Arctoperlaria | Perloidea | Perlidae | Perlesta	Animalia	Arthropoda	Insecta	Plecoptera	Perloidea	Perlidae	Acroneuriinae			Perlesta				lagoi			species		Stark, 1989	Gulf Stone	ICZN			
5003323860	CC BY 4.0									http://grbio.org/institution/illinois-natural-history-survey			INHS		INHS_data		PreservedSpecimen				307cceb6-b03b-4318-a079-1b43b105f757	INHS Insect Collection 1539326		Henry W. Robison		3			Female	adult									present	Vial																	AR: Montgomery Co., McKinley Mtn. Springs, 1 mi West of Rd. 38, 1/2 mi. S. of Rd. 25, T4S R26W Sec. 6, 3 July 1996, H.W. Robison  Neoperla osage, 3F, Det. L.V. Hart 2024						1996-07-03							3 July 1996	springs											McKinley Mountain Springs			United States	US	Arkansas	Montgomery			1 mi West of Rd. 38, 1/2 mi. S. of Rd. 25, T4S R26W Sec. 6												34.427823	-93.821035	unknown	1000.0							unknown	POINT Z (-93.821035 34.427823 0)			Hart, Lily	2023-06-19	Created by entering point coordinates in a form, along with an optional error radius.	Curator entered point/radius data.	A generic point georeference.																							Lily V. Hart	https://orcid.org/0000-0002-2906-1849	2024												Neoperla osage Stark & Lentz, 1988							Animalia | Arthropoda | Insecta | Plecoptera | Arctoperlaria | Perloidea | Perlidae | Neoperla	Animalia	Arthropoda	Insecta	Plecoptera	Perloidea	Perlidae	Perlinae			Neoperla				osage			species		Stark & Lentz, 1988	Osage Stone	ICZN			
5003323859	CC BY 4.0												CNCI		CNCI_data		PreservedSpecimen				89ce920e-f8ee-4362-8213-9cca3b43a0b3	CNC 897099		C. A. Rite | L. L. Aggus		1				adult									present	ethyl alcohol																							1963-05-16								stream											War Eagle Creek			United States	US	Arkansas	Washington			War Eagle Creek, Washington County, T18N, R28W, Sec 19 SW1/4												36.206283	-93.994797	unknown								unknown																													cf. brevis																Haploperla brevis (Banks, 1895)							Animalia | Arthropoda | Insecta | Plecoptera | Arctoperlaria | Perloidea | Chloroperlidae | Haploperla	Animalia	Arthropoda	Insecta	Plecoptera	Perloidea	Chloroperlidae	Chloroperlinae			Haploperla				brevis			species		(Banks, 1895)	Least Sallfly	ICZN			
5003323858	CC BY 4.0									http://grbio.org/institution/illinois-natural-history-survey			INHS		INHS_data		PreservedSpecimen				b973f276-a3e8-4e5e-8fe9-26bfa68c4873	INHS Insect Collection 1520061		Henry W. Robison		1			Female	adult									present	Vial																	HWR 96-45: AR: Lawrence Co.: Strawberry River at St. Hwy 115, south of Smithville, AR., 24 Feb. 1996, H.W. Robison  Taeniopteryx parvula, 1M, 1F, Det. R.E. DeWalt 2023  Taeniopteryx parvula, 1M, 1F, Det. B.C. Poulton  B.C. Poulton Donation  Photographed by: Lily Hart					HWR-96-45	1996-02-24							24 Feb. 1996	river											Strawberry River			United States	US	Arkansas	Lawrence			AR: Lawrence Co.: Strawberry River at St. Hwy 115, south of Smithville, AR.												36.027704	-91.325483	unknown	100.0							unknown	POINT Z (-91.325483 36.027704 0)			Hart, Lily	2023-10-03	"Shape ""drawn"" on a Leaflet map."	Leaflet	Created from a TaxonWorks interface that integrates Leaflet.																							Ralph Edward DeWalt	https://orcid.org/0000-0001-9985-9250	2023												Taeniopteryx parvula Banks, 1918							Animalia | Arthropoda | Insecta | Plecoptera | Arctoperlaria | Nemouroidea | Taeniopterygidae | Taeniopteryx	Animalia	Arthropoda	Insecta	Plecoptera	Nemouroidea	Taeniopterygidae	Taeniopteryginae			Taeniopteryx				parvula			species		Banks, 1918	Hooked Willowfly	ICZN			
5003323857	CC BY 4.0									http://grbio.org/institution/illinois-natural-history-survey			INHS		INHS_data		PreservedSpecimen				005fa462-560a-4e33-bb60-dd4268f00d37	INHS Insect Collection 583822		Kenneth W. Stewart		3			Male	adult									present	Vial																	AR, Scott Co.; Johnson Cr. tributary; Hwy 71 ca. 4.4 mi; W Y-city; 14-II-1992; K. W. Stewart  Zealeuctra wachita, 3 M, 3 F, eggs, Det. K. D. Alexander, 1992						1992-02-14							14-II-1992	stream											tributary Johnson Creek			United States	US	Arkansas	Scott			4.4 mi W Y City at US-71												34.72216	-94.14269	unknown	1000.0			N34.72216º W94.14269º	N34.72216º	W94.14269º		unknown	POINT Z (-94.14269 34.72216 0)			DeWalt, Ralph Edward		A geospatial point translated from verbatim values recorded on human-readable media (e.g. paper specimen label, field notebook).	Physical collection object.	Derived from a instance of TaxonWorks' Georeference::VerbatimData.																							K.D. Alexander		1992												Zealeuctra wachita Ricker & Ross, 1969							Animalia | Arthropoda | Insecta | Plecoptera | Arctoperlaria | Nemouroidea | Leuctridae | Zealeuctra	Animalia	Arthropoda	Insecta	Plecoptera	Nemouroidea	Leuctridae	Leuctrinae			Zealeuctra				wachita			species		Ricker & Ross, 1969	Ouachita Needlefly	ICZN			
5003323856	CC BY 4.0														Literature_data		MaterialCitation				172eb180-eca6-4cf9-8156-e16144e3900b			Barry C. Poulton	https://orcid.org/0000-0002-7219-4911	4			Male	adult									present																		AR: Perry Co., Dry Fork Creek, Hwy 7, 14.3 km S Hollis, 6-VI-84, 4M, 1F, BCP						1984-06-06							6-VI-84	stream											Dry Fork Creek			United States	US	Arkansas	Perry			Hwy 7, 14.3 km S Hollis												34.800936	-93.109394	unknown								unknown				Hart, Lily																										paratype of Alloperla caddo Poulton & Stewart, 1987	Barry C. Poulton	https://orcid.org/0000-0002-7219-4911													Alloperla caddo Poulton & Stewart, 1987							Animalia | Arthropoda | Insecta | Plecoptera | Arctoperlaria | Perloidea | Chloroperlidae | Alloperla	Animalia	Arthropoda	Insecta	Plecoptera	Perloidea	Chloroperlidae	Chloroperlinae			Alloperla				caddo			species		Poulton & Stewart, 1987	Caddo Sallfly	ICZN			
5003323855	CC BY 4.0									http://grbio.org/institution/illinois-natural-history-survey			INHS		INHS_data		PreservedSpecimen				44522914-8b48-4989-9b7e-036b38be301b	INHS Insect Collection 793877		Henry W. Robison | D. Koym		2			Female	adult									present	Vial		https://sfg.taxonworks.org/api/v1/images/1848a1108a33b9dd708d62b5887ed9df						Imaged by: Ed DeWalt, Felipe Soto-Adames; Date Imaged: 12/1/2015.									AR, Yell Co., Fourche la Fave River Hwy 28 2 mi E of Gravelly, 20-V-82, Robison & Koym  Perlesta lagoi, 2 F, Det. R. E. DeWalt, 2015  Photographed by: Ed DeWalt, Felipe Soto-Adames Date: 12/1/2015 Notes: K.W. Stewart Collection						1982-05-20							20-V-82	river											Fourche La Fave River			United States	US	Arkansas	Yell			2 mi E Gravelly at AR-28												34.87257	-93.65655	unknown	1000.0			N34.87257º W93.65655º	N34.87257º	W93.65655º		unknown	POINT Z (-93.65655 34.87257 0)			DeWalt, Ralph Edward	2024-01-18	A geospatial point translated from verbatim values recorded on human-readable media (e.g. paper specimen label, field notebook).	Physical collection object.	Derived from a instance of TaxonWorks' Georeference::VerbatimData.																							Ralph Edward DeWalt	https://orcid.org/0000-0001-9985-9250	2015												Perlesta lagoi Stark, 1989							Animalia | Arthropoda | Insecta | Plecoptera | Arctoperlaria | Perloidea | Perlidae | Perlesta	Animalia	Arthropoda	Insecta	Plecoptera	Perloidea	Perlidae	Acroneuriinae			Perlesta				lagoi			species		Stark, 1989	Gulf Stone	ICZN			
5003323854	CC BY 4.0									http://grbio.org/institution/illinois-natural-history-survey			INHS		INHS_data		PreservedSpecimen				c6848a4f-8f98-437d-a87f-704c1b758e20	INHS Insect Collection 796253				1				exuvia									present	Vial								Imaged by: R. E. DeWalt; Date Imaged: 12/31/2015.									Ark. Montgomery Co. Little Missouri R. LM-1 24-II 1980  Clioperla clio M [Ex.] det. B. Stark 1980  Photographed by: R.E. DeWalt Date: 12/31/2015 Notes: K.W. Stewart Collection						1980-02-24							24-II 1980	river											Little Missouri River			United States	US	Arkansas	Montgomery			Albert Pike Recreation Area												34.37591	-93.87771	unknown	1000.0			N34.37591º W93.87771º	N34.37591º	W93.87771º		unknown	POINT Z (-93.87771 34.37591 0)			DeWalt, Ralph Edward		A geospatial point translated from verbatim values recorded on human-readable media (e.g. paper specimen label, field notebook).	Physical collection object.	Derived from a instance of TaxonWorks' Georeference::VerbatimData.																							Bill P. Stark	https://orcid.org/0000-0002-3771-9604	1980												Clioperla clio (Newman, 1839)							Animalia | Arthropoda | Insecta | Plecoptera | Arctoperlaria | Perloidea | Perlodidae | Isoperlinae | Clioperla	Animalia	Arthropoda	Insecta	Plecoptera	Perloidea	Perlodidae	Isoperlinae			Clioperla				clio			species		(Newman, 1839)	Clio Stripetail	ICZN			
5003323853	CC BY 4.0									http://grbio.org/institution/illinois-natural-history-survey			INHS		INHS_data		PreservedSpecimen				aadc37c5-5409-4a0d-9590-31eeb94c9908	INHS Insect Collection 794939		Barry C. Poulton	https://orcid.org/0000-0002-7219-4911	1			Female	adult									present	Vial		https://sfg.taxonworks.org/api/v1/images/644052f87d2d5f8e8b7770bdce42266f						Imaged by: Elise Snyder, Ed DeWalt; Date Imaged: 12/11/2015.									ARK: Hempstead Co. Bridge Creek Hwy 195 2.5 mi. NE Fulton 5-II-84 B. C. Poulton | 9 #88 F T. m 17/II/84|#88 F T. mau 17/II  T. maura [reared] 1 F [Det. B. C. Poulton]  Photographed by: Elise Snyder, Ed DeWalt Date: 12/11/2015 Notes: K.W. Stewart Collection						1984-02-05							5-II-84	stream						BCPoulton AR-88					Bridge Creek			United States	US	Arkansas	Hempstead			2.5 mi NE Fulton at Hwy 195												33.64047	-93.78893	unknown	10.0			N33.64047º W93.78893º	N33.64047º	W93.78893º		unknown	POINT Z (-93.78893 33.64047 0)			DeWalt, Ralph Edward	2024-02-01	A geospatial point translated from verbatim values recorded on human-readable media (e.g. paper specimen label, field notebook).	Physical collection object.	Derived from a instance of TaxonWorks' Georeference::VerbatimData.																							Barry C. Poulton	https://orcid.org/0000-0002-7219-4911													Taeniopteryx maura (Pictet, 1841)							Animalia | Arthropoda | Insecta | Plecoptera | Arctoperlaria | Nemouroidea | Taeniopterygidae | Taeniopteryx	Animalia	Arthropoda	Insecta	Plecoptera	Nemouroidea	Taeniopterygidae	Taeniopteryginae			Taeniopteryx				maura			species		(Pictet, 1841)	Spinyleg Willowfly	ICZN			
5003323852	CC BY 4.0									http://grbio.org/institution/illinois-natural-history-survey			INHS		INHS_data		PreservedSpecimen				7db12908-baa6-4d66-ba4b-e911c6f36018	INHS Insect Collection 910711		Henry W. Robison		1			Female	adult									present	Vial		https://sfg.taxonworks.org/api/v1/images/7e21d726c8c8497e65e296e7aa874c8e															AR: Garland Co., Cedar Ck., at St. Hwy 5, 7.1 mi NE of jct. of St. Hwy 5 and 7, 24 Feb 1995, H.W. Robison, HWR 95-4  Prostoia completa, 1F, det. L.V. Hart 2024					HWR-95-4	1995-02-24							24 Feb. 1995	stream											Cedar Creek			United States	US	Arkansas	Garland			at St. Hwy 5, 7.1 mi NE of jct. of St. Hwy 5 and 7												34.614298	-92.89288	unknown								unknown	POINT Z (-92.89288 34.614298 0)			Hart, Lily	2023-09-21	"Shape ""drawn"" on a Leaflet map."	Leaflet	Created from a TaxonWorks interface that integrates Leaflet.																							Lily V. Hart	https://orcid.org/0000-0002-2906-1849	2024												Prostoia ozarkensis Baumann & Grubbs, 2014							Animalia | Arthropoda | Insecta | Plecoptera | Arctoperlaria | Nemouroidea | Nemouridae | Prostoia	Animalia	Arthropoda	Insecta	Plecoptera	Nemouroidea	Nemouridae	Nemourinae			Prostoia				ozarkensis			species		Baumann & Grubbs, 2014	Ozark Forestfly	ICZN			
5003323851	CC BY 4.0									http://grbio.org/institution/illinois-natural-history-survey			INHS		INHS_data		PreservedSpecimen				6c33a7be-0130-4320-93a0-b8dedf4486c9	INHS Insect Collection 877473		Barry C. Poulton	https://orcid.org/0000-0002-7219-4911	3				exuvia									present	Vial		https://sfg.taxonworks.org/api/v1/images/791658b3d7efd168c9ad7ae883d0a260						Imaged by: Elise Snyder; Date Imaged: 03/28/2016.									#170, Rear 2 M, 2 F, 7-IV-84 || #170 Rear 7-IV-84 2{male} 2{female}  Isoperla irregularis, [2 M, 2 F, 3 Ex.] Det. S. W. Szczytko || Isoperla irregularis Det. S.W. Szczytko  Photographed by: Elise Snyder Date: 03/28/2016 Notes: Barry C. Poulton Collection						1984-04-07							7-IV-84	river						BCPoulton AR-170					Petit Jean River			United States	US	Arkansas	Logan			1.5 mi W Magazine												35.14299	-93.83416	unknown	1000.0			N35.14299º W93.83416º	N35.14299º	W93.83416º		unknown	POINT Z (-93.83416 35.14299 0)			DeWalt, Ralph Edward	2024-01-19	A geospatial point translated from verbatim values recorded on human-readable media (e.g. paper specimen label, field notebook).	Physical collection object.	Derived from a instance of TaxonWorks' Georeference::VerbatimData.																							Stanley W. Szczytko														Isoperla irregularis (Klapálek, 1923)							Animalia | Arthropoda | Insecta | Plecoptera | Arctoperlaria | Perloidea | Perlodidae | Isoperlinae | Isoperla	Animalia	Arthropoda	Insecta	Plecoptera	Perloidea	Perlodidae	Isoperlinae			Isoperla				irregularis			species		(Klapálek, 1923)	Texan Stripetail	ICZN			
5003323850	CC BY 4.0									http://grbio.org/institution/illinois-natural-history-survey			INHS		INHS_data		PreservedSpecimen				c1ee8101-e1c7-4ab0-8098-96f0b641f161	INHS Insect Collection 1535636		Henry W. Robison		1			Male	adult									present	Vial																	HWR93-10. Newton Co., Beech Ck. at Hwy 21  Allocapnia rickeri, M, det. L.V. Hart 2024					HWR-93-10	1993-02-13							13 Feb. 1993	stream											Beech Creek			United States	US	Arkansas	Newton			AR: Newton Co.: Beech Creek (Buffalo River Dr.) at St. Hwy 21 west of Boxley												35.966745	-93.404715	unknown	100.0							unknown	POINT Z (-93.404715 35.966745 0)			Hart, Lily	2023-09-26	Created by entering point coordinates in a form, along with an optional error radius.	Curator entered point/radius data.	A generic point georeference.																							Lily V. Hart	https://orcid.org/0000-0002-2906-1849	2024												Allocapnia rickeri Frison, 1942							Animalia | Arthropoda | Insecta | Plecoptera | Arctoperlaria | Nemouroidea | Capniidae | Allocapnia	Animalia	Arthropoda	Insecta	Plecoptera	Nemouroidea	Capniidae				Allocapnia				rickeri			species		Frison, 1942	Midwest Snowfly	ICZN			
5003323849	CC BY 4.0									http://grbio.org/institution/illinois-natural-history-survey			INHS		INHS_data		PreservedSpecimen				cc9d97de-f70f-40ed-b118-29984b94d051	INHS Insect Collection 1503581		Barry C. Poulton	https://orcid.org/0000-0002-7219-4911	5			Female	adult									present	Vial		https://sfg.taxonworks.org/api/v1/images/d62c66a1bf8192539afc975eae61b2a1															AR: Stone Co., Turkey Creek, 3.5 mi N Prim, 18-V-96, BCP						1996-05-18							18-v-96	stream											Turkey Creek			United States	US	Arkansas	Stone			3.5 mi N Prim												35.736952	-92.107839	unknown	1000.0							unknown	POINT Z (-92.107839 35.736952 0)			Hart, Lily	2024-03-01	Created by entering point coordinates in a form, along with an optional error radius.	Curator entered point/radius data.	A generic point georeference.																							Ralph Edward DeWalt	https://orcid.org/0000-0001-9985-9250	2024												Haploperla brevis (Banks, 1895)							Animalia | Arthropoda | Insecta | Plecoptera | Arctoperlaria | Perloidea	Animalia	Arthropoda	Insecta	Plecoptera	Perloidea	Chloroperlidae	Chloroperlinae			Haploperla				brevis			species		(Banks, 1895)	Least Sallfly	ICZN			
5003323848	CC BY 4.0									http://grbio.org/institution/illinois-natural-history-survey			INHS		INHS_data		PreservedSpecimen				a5eda8c5-36ea-4d46-8e2f-32d4efb1a754	INHS Insect Collection 794745		Barry C. Poulton	https://orcid.org/0000-0002-7219-4911	1				immature									present	Vial		https://sfg.taxonworks.org/api/v1/images/67b715960edcad138b539663c3f6d970						Imaged by: Ed DeWalt, Felipe Soto-Adames; Date Imaged: 12/9/2015.									#156 23-III-84  Acroneuria frisoni, N, Det. R. E. DeWalt, 2018 | Acroneuria evoluta [frisoni] 3 [1] N Det. B. C. Poulton  Photographed by: Ed DeWalt, Felipe Soto-Adames Date: 12/9/2015 Notes: K.W. Stewart Collection						1984-03-23							23-III-84	stream						BCPoulton AR-156					Macks Creek			United States	US	Arkansas	Polk			Board Camp at Hwy 8												34.53714	-94.09724	unknown	10.0			N34.53714º W94.09724º	N34.53714º	W94.09724º		unknown	POINT Z (-94.09724 34.53714 0)			DeWalt, Ralph Edward		A geospatial point translated from verbatim values recorded on human-readable media (e.g. paper specimen label, field notebook).	Physical collection object.	Derived from a instance of TaxonWorks' Georeference::VerbatimData.																							Ralph Edward DeWalt	https://orcid.org/0000-0001-9985-9250	2018												Acroneuria frisoni Stark & Brown, 1991							Animalia | Arthropoda | Insecta | Plecoptera | Arctoperlaria | Perloidea | Perlidae | Acroneuria	Animalia	Arthropoda	Insecta	Plecoptera	Perloidea	Perlidae	Acroneuriinae			Acroneuria				frisoni			species		Stark & Brown, 1991	Central Stone	ICZN			
5003323847	CC BY 4.0									http://grbio.org/institution/illinois-natural-history-survey			INHS		INHS_data		PreservedSpecimen				ef1ba571-0e26-4552-9810-2d30ce07359e	INHS Insect Collection 1504261		Henry W. Robison		2				immature									present	Vial		https://sfg.taxonworks.org/api/v1/images/462004721cad3f552b3b521d7512846c															AR: Polk Co., Roaring Branch Natl. Area, 14 Dec. 1996, H.W. Robison, HWR 96-255  Clioperla clio, 2N, Det. R.E. DeWalt, 2024  B.C. Poulton Donation  Photographed by: Lily Hart					HWR-96-255	1996-12-14							14 Dec. 1996	stream											Roaring Branch			United States	US	Arkansas	Polk			Roaring Branch Natural Area												34.374	-93.978	unknown	1000.0							unknown	POINT Z (-93.978 34.374 0)			Hart, Lily	2023-09-26	Created by entering point coordinates in a form, along with an optional error radius.	Curator entered point/radius data.	A generic point georeference.																							Ralph Edward DeWalt	https://orcid.org/0000-0001-9985-9250	2024												Clioperla clio (Newman, 1839)							Animalia | Arthropoda | Insecta | Plecoptera | Arctoperlaria | Perloidea | Perlodidae | Isoperlinae | Clioperla	Animalia	Arthropoda	Insecta	Plecoptera	Perloidea	Perlodidae	Isoperlinae			Clioperla				clio			species		(Newman, 1839)	Clio Stripetail	ICZN			
5003323846	CC BY 4.0									http://grbio.org/institution/illinois-natural-history-survey			INHS		INHS_data		PreservedSpecimen				e3eb4f6b-42e4-420c-8a21-fcda42206891	INHS Insect Collection 876178		Otis A. Hite | Maxine Hite		7				adult									present	Vial		https://sfg.taxonworks.org/api/v1/images/691e9221d26daf84103d11e353065fb5						Imaged by: Elise Snyder; Date Imaged: 2/21/2016.									O&M Hite Coll. 5-25-62  Isoperla namata Frison [7 Ad.], Det. S. W. Szczytko 1984  Photographed by: Elise Snyder Date: 02/21/2016 Notes: S.W. Szczytko Collection						1962-05-25							5-25-62	stream											Cove Creek			United States	US	Arkansas	Washington			15 mi S Prairie Grove												35.79531	-94.36519	unknown	1000.0			N35.79531º W94.36519º	N35.79531º	W94.36519º		unknown	POINT Z (-94.36519 35.79531 0)			DeWalt, Ralph Edward		A geospatial point translated from verbatim values recorded on human-readable media (e.g. paper specimen label, field notebook).	Physical collection object.	Derived from a instance of TaxonWorks' Georeference::VerbatimData.																							Stanley W. Szczytko		1984												Isoperla namata Frison, 1942							Animalia | Arthropoda | Insecta | Plecoptera | Arctoperlaria | Perloidea | Perlodidae | Isoperlinae | Isoperla	Animalia	Arthropoda	Insecta	Plecoptera	Perloidea	Perlodidae	Isoperlinae			Isoperla				namata			species		Frison, 1942	Ozark Stripetail	ICZN			
